"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","251","DR-TC144: Verificar rechazo en actualizar un profesional con specialty excediendo longitud máxima","tests.Professional","Mon Nov 10 20:53:17 UTC 2025","skipped","Mon Nov 10 20:53:18 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","1868","DR-TC179: Verificar que se puede registrar un paciente con country Bolivia","tests.Patient","Mon Nov 10 20:48:08 UTC 2025","passed","Mon Nov 10 20:48:10 UTC 2025","","test_DR_US_06_POST_patient","",""
"","1671","DR-TC207: Verificar rechazo en la creación de paciente con sex excediendo longitud máxima","tests.Patient","Mon Nov 10 20:48:51 UTC 2025","passed","Mon Nov 10 20:48:53 UTC 2025","","test_DR_US_06_POST_patient","",""
"","582","DR-TC04: Verificar login fallido con contraseña inválida","tests.Login","Mon Nov 10 20:47:50 UTC 2025","passed","Mon Nov 10 20:47:51 UTC 2025","","test_DR_US_01_Login","",""
"","2059","DR-TC195: Verificar que no se registre un paciente con ref_number_2 inválido","tests.Patient","Mon Nov 10 20:48:26 UTC 2025","skipped","Mon Nov 10 20:48:28 UTC 2025","","test_DR_US_06_POST_patient","",""
"","552","DR-TC222: Verificar fallo en el registro de paciente con método HTTP incorrecto DELETE","tests.Patient","Mon Nov 10 20:48:59 UTC 2025","passed","Mon Nov 10 20:48:59 UTC 2025","","test_DR_US_06_POST_patient","",""
"","193","DR-TC72: Verificar obtención de lista de profesionales","tests.Professional","Mon Nov 10 20:51:39 UTC 2025","passed","Mon Nov 10 20:51:39 UTC 2025","","test_DR_US_03_GET_professional","",""
"","213","DR-TC52: Verificar fallo en el registro de profesional con método HTTP incorrecto DELETE","tests.Professional","Mon Nov 10 20:51:28 UTC 2025","passed","Mon Nov 10 20:51:28 UTC 2025","","test_DR_US_02_POST_professional","",""
"","1082","DR-TC44: Verificar rechazo en la creación de profesional con personal_email excediendo longitud máxima","tests.Professional","Mon Nov 10 20:51:20 UTC 2025","skipped","Mon Nov 10 20:51:21 UTC 2025","","test_DR_US_02_POST_professional","",""
"","234","DR-TC253: Verificar que se pueda actualizar un paciente con country República Dominicana","tests.Patient","Mon Nov 10 20:49:31 UTC 2025","passed","Mon Nov 10 20:49:31 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","188","DR‑TC267: Verificar que no se pueda actualizar un paciente con photo vacio","tests.Patient","Mon Nov 10 20:49:51 UTC 2025","passed","Mon Nov 10 20:49:52 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","216","DR-TC21: Verificar que no se pueda registrar un profesional sin personal_email","tests.Professional","Mon Nov 10 20:51:08 UTC 2025","passed","Mon Nov 10 20:51:08 UTC 2025","","test_DR_US_02_POST_professional","",""
"","1","DR-TC280: Verificar que no se pueda actualizar un paciente con father_name con caracteres especiales","tests.Patient","Mon Nov 10 20:50:09 UTC 2025","skipped","Mon Nov 10 20:50:09 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","294","DR-TC142: Verificar rechazo en actualizar un profesional con phone excediendo longitud máxima","tests.Professional","Mon Nov 10 20:53:14 UTC 2025","skipped","Mon Nov 10 20:53:15 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","1842","DR-TC206: Verificar rechazo en la creación de paciente con mother_name excediendo longitud máxima","tests.Patient","Mon Nov 10 20:48:39 UTC 2025","skipped","Mon Nov 10 20:48:41 UTC 2025","","test_DR_US_06_POST_patient","",""
"","0","DR-TC268: Verificar que no se pueda actualizar un paciente con first_name con un valor de solo espacios","tests.Patient","Mon Nov 10 20:49:53 UTC 2025","skipped","Mon Nov 10 20:49:53 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","0","DR‑TC287: Verificar que no se pueda actualizar un paciente con date_of_birth a una fecha futura","tests.Patient","Mon Nov 10 20:50:19 UTC 2025","skipped","Mon Nov 10 20:50:19 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","177","DR-TC320: Verificar registro fotográfico fallido con formato invalido en photo_path","tests.Patient","Mon Nov 10 20:51:02 UTC 2025","passed","Mon Nov 10 20:51:02 UTC 2025","","test_DR_US_10_POST_patient_photographic_record","",""
"","240","DR-TC133: Verificar rechazo en actualizar un profesional con first_name excediendo longitud máxima","tests.Professional","Mon Nov 10 20:53:04 UTC 2025","skipped","Mon Nov 10 20:53:04 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","168","DR-TC161: Verificar eliminación de profesional fallida sin autenticación","tests.Professional","Mon Nov 10 20:53:31 UTC 2025","passed","Mon Nov 10 20:53:31 UTC 2025","","test_DR_US_05_DELETE_professional","",""
"","1838","DR-TC199: Verificar que no se registre un paciente con sex inválido","tests.Patient","Mon Nov 10 20:48:28 UTC 2025","passed","Mon Nov 10 20:48:30 UTC 2025","","test_DR_US_06_POST_patient","",""
"","226","DR-TC141: Verificar rechazo en actualizar un profesional con personal_email excediendo longitud máxima","tests.Professional","Mon Nov 10 20:53:13 UTC 2025","skipped","Mon Nov 10 20:53:13 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","0","DR-TC223: Verificar que no se registre un paciente con country inválido Argentina","tests.Patient","Mon Nov 10 20:48:32 UTC 2025","skipped","Mon Nov 10 20:48:32 UTC 2025","","test_DR_US_06_POST_patient","",""
"","202","DR-TC97: Verificar que se pueda actualizar un profesional con country México","tests.Professional","Mon Nov 10 20:52:06 UTC 2025","passed","Mon Nov 10 20:52:06 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","337","DR-TC18: Verificar que no se pueda registrar un profesional sin sex","tests.Professional","Mon Nov 10 20:51:07 UTC 2025","passed","Mon Nov 10 20:51:08 UTC 2025","","test_DR_US_02_POST_professional","",""
"","218","DR-TC106: Verificar que no se pueda actualizar un profesional con sex con un valor vacio","tests.Professional","Mon Nov 10 20:52:19 UTC 2025","passed","Mon Nov 10 20:52:19 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","175","DR-TC202: Verificar que no se registre un paciente con photo_path inválido","tests.Patient","Mon Nov 10 20:48:33 UTC 2025","passed","Mon Nov 10 20:48:33 UTC 2025","","test_DR_US_06_POST_patient","",""
"","1033","DR-TC31: Verificar que no se registre un profesional con sex inválido","tests.Professional","Mon Nov 10 20:51:10 UTC 2025","passed","Mon Nov 10 20:51:11 UTC 2025","","test_DR_US_02_POST_professional","",""
"","185","DR-TC61: Verificar que no se pueda crear un profesional con token invalido","tests.Professional","Mon Nov 10 20:51:27 UTC 2025","passed","Mon Nov 10 20:51:27 UTC 2025","","test_DR_US_02_POST_professional","",""
"","205","DR-TC94: Verificar que se pueda actualizar un profesional con sex masculino","tests.Professional","Mon Nov 10 20:52:01 UTC 2025","passed","Mon Nov 10 20:52:01 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","200","DR-TC248: Verificar que se pueda actualizar un paciente con sex masculino","tests.Patient","Mon Nov 10 20:49:23 UTC 2025","passed","Mon Nov 10 20:49:23 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","1023","DR-TC43: Verificar rechazo en la creación de profesional con dni excediendo longitud máxima","tests.Professional","Mon Nov 10 20:51:19 UTC 2025","skipped","Mon Nov 10 20:51:20 UTC 2025","","test_DR_US_02_POST_professional","",""
"","1","DR-TC153: Verificar que no se pueda actualizar un profesional con profession con caracteres especiales","tests.Professional","Mon Nov 10 20:52:46 UTC 2025","skipped","Mon Nov 10 20:52:46 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","184","DR‑TC273: Verificar que no se pueda actualizar un paciente con date_of_birth con un valor de solo espacios","tests.Patient","Mon Nov 10 20:50:01 UTC 2025","passed","Mon Nov 10 20:50:01 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","0","DR-TC281: Verificar que no se pueda actualizar un paciente con mother_name con caracteres especiales","tests.Patient","Mon Nov 10 20:50:10 UTC 2025","skipped","Mon Nov 10 20:50:10 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","202","DR-TC235: Verificar actualización exitosa de un paciente modificando solo el campo first_name","tests.Patient","Mon Nov 10 20:49:04 UTC 2025","passed","Mon Nov 10 20:49:04 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","1123","DR-TC70: Verificar que se puede registrar un profesional con country Argentina","tests.Professional","Mon Nov 10 20:51:37 UTC 2025","passed","Mon Nov 10 20:51:38 UTC 2025","","test_DR_US_02_POST_professional","",""
"","2415","DR-TC164: Verificar registro de paciente con todos los campos válidos","tests.Patient","Mon Nov 10 20:47:53 UTC 2025","passed","Mon Nov 10 20:47:55 UTC 2025","","test_DR_US_06_POST_patient","",""
"","197","DR-TC263: Verificar que no se pueda actualizar un paciente con country con un valor vacio","tests.Patient","Mon Nov 10 20:49:46 UTC 2025","passed","Mon Nov 10 20:49:46 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","1887","DR-TC203: Verificar rechazo en la creación de paciente con first_name excediendo longitud máxima","tests.Patient","Mon Nov 10 20:48:33 UTC 2025","skipped","Mon Nov 10 20:48:35 UTC 2025","","test_DR_US_06_POST_patient","",""
"","232","DR-TC304: Verificar rechazo en actualizar un paciente con fissure_type excediendo longitud máxima","tests.Patient","Mon Nov 10 20:50:49 UTC 2025","skipped","Mon Nov 10 20:50:50 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","1635","test_DR_TC_331_Professional","tests.e2e","Mon Nov 10 20:53:35 UTC 2025","passed","Mon Nov 10 20:53:37 UTC 2025","","test_DR_US_13_e2e_professional","",""
"","232","DR-TC254: Verificar que se pueda actualizar un paciente con fissure_type Flap izquierdo","tests.Patient","Mon Nov 10 20:49:32 UTC 2025","passed","Mon Nov 10 20:49:33 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","198","DR-TC49: Verificar que no se pueda crear un profesional sin autenticación","tests.Professional","Mon Nov 10 20:51:27 UTC 2025","passed","Mon Nov 10 20:51:27 UTC 2025","","test_DR_US_02_POST_professional","",""
"","1001","DR-TC39: Verificar rechazo en la creación de profesional con country excediendo longitud máxima","tests.Professional","Mon Nov 10 20:51:26 UTC 2025","passed","Mon Nov 10 20:51:27 UTC 2025","","test_DR_US_02_POST_professional","",""
"","1072","DR-TC13: Verificar registro de profesional con todos los campos válidos","tests.Professional","Mon Nov 10 20:51:04 UTC 2025","passed","Mon Nov 10 20:51:05 UTC 2025","","test_DR_US_02_POST_professional","",""
"","0","DR-TC30: Verificar que no se registre un profesional con date_of_birth en el futuro","tests.Professional","Mon Nov 10 20:51:10 UTC 2025","skipped","Mon Nov 10 20:51:10 UTC 2025","","test_DR_US_02_POST_professional","",""
"","231","DR-TC239: Verificar actualización exitosa de un paciente modificando solo el campo date_of_birth","tests.Patient","Mon Nov 10 20:49:10 UTC 2025","passed","Mon Nov 10 20:49:10 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","284","DR-TC77: Verificar que no se pueda obtener la lista de profesionales con token invalido","tests.Professional","Mon Nov 10 20:51:40 UTC 2025","passed","Mon Nov 10 20:51:40 UTC 2025","","test_DR_US_03_GET_professional","",""
"","201","DR-TC245: Verificar actualización exitosa de un paciente modificando solo el campo ref_number_2","tests.Patient","Mon Nov 10 20:49:19 UTC 2025","passed","Mon Nov 10 20:49:19 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","607","DR-TC01: Verificar login exitoso con credenciales válidas como admin","tests.Login","Mon Nov 10 20:47:49 UTC 2025","passed","Mon Nov 10 20:47:50 UTC 2025","","test_DR_US_01_Login","",""
"","0","DR-TC118: Verificar que no se pueda actualizar un profesional con profession con un valor de solo espacios","tests.Professional","Mon Nov 10 20:52:36 UTC 2025","skipped","Mon Nov 10 20:52:36 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","189","DR-TC150: Verificar que no se pueda actualizar un profesional con token invalido","tests.Professional","Mon Nov 10 20:53:27 UTC 2025","passed","Mon Nov 10 20:53:27 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","200","DR-TC128: Verificar que no se pueda actualizar un profesional con sex con un valor inválido","tests.Professional","Mon Nov 10 20:52:57 UTC 2025","skipped","Mon Nov 10 20:52:57 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","210","DR-TC85: Verificar actualización exitosa de un profesional modificando solo el campo city","tests.Professional","Mon Nov 10 20:51:48 UTC 2025","passed","Mon Nov 10 20:51:48 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","1845","DR-TC165: Verificar registro de paciente únicamente con los campos obligatorios","tests.Patient","Mon Nov 10 20:47:55 UTC 2025","passed","Mon Nov 10 20:47:57 UTC 2025","","test_DR_US_06_POST_patient","",""
"","249","DR-TC98: Verificar que se pueda actualizar un profesional con country  Perú","tests.Professional","Mon Nov 10 20:52:07 UTC 2025","passed","Mon Nov 10 20:52:07 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","1840","DR-TC177: Verificar que se puede registrar un paciente con sex masculino","tests.Patient","Mon Nov 10 20:48:04 UTC 2025","passed","Mon Nov 10 20:48:05 UTC 2025","","test_DR_US_06_POST_patient","",""
"","176","DR-TC326: Verificar que no se pueda obtener el registro fotográfico de un paciente con ID inválido","tests.Patient","Mon Nov 10 20:51:04 UTC 2025","passed","Mon Nov 10 20:51:04 UTC 2025","","test_DR_US_11_GET_patient_photographic_record","",""
"","226","DR-TC126: Verificar que no se pueda actualizar un profesional con date_of_birth con formato inválido mm/dd/aaaa","tests.Professional","Mon Nov 10 20:52:52 UTC 2025","passed","Mon Nov 10 20:52:52 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","1147","DR-TC69: Verificar que se puede registrar un profesional con country Estados Unidos","tests.Professional","Mon Nov 10 20:51:35 UTC 2025","passed","Mon Nov 10 20:51:36 UTC 2025","","test_DR_US_02_POST_professional","",""
"","165","DR-TC80: Verificar fallo en obtención de lista de profesionales con método HTTP incorrecto DELETE","tests.Professional","Mon Nov 10 20:51:41 UTC 2025","passed","Mon Nov 10 20:51:41 UTC 2025","","test_DR_US_03_GET_professional","",""
"","398","DR-TC221: Verificar fallo en el registro de paciente con método HTTP incorrecto PUT","tests.Patient","Mon Nov 10 20:48:58 UTC 2025","passed","Mon Nov 10 20:48:59 UTC 2025","","test_DR_US_06_POST_patient","",""
"","236","DR-TC266: Verificar que no se pueda actualizar un paciente con fissure_type con un valor vacio","tests.Patient","Mon Nov 10 20:49:50 UTC 2025","passed","Mon Nov 10 20:49:50 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","1859","DR-TC180: Verificar que se puede registrar un paciente con country México","tests.Patient","Mon Nov 10 20:48:10 UTC 2025","passed","Mon Nov 10 20:48:12 UTC 2025","","test_DR_US_06_POST_patient","",""
"","354","DR-TC83: Verificar actualización exitosa de un profesional modificando solo el campo last_name","tests.Professional","Mon Nov 10 20:51:45 UTC 2025","passed","Mon Nov 10 20:51:45 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","0","DR-TC198: Verificar que no se registre un paciente con date_of_birth en el futuro","tests.Patient","Mon Nov 10 20:48:32 UTC 2025","skipped","Mon Nov 10 20:48:32 UTC 2025","","test_DR_US_06_POST_patient","",""
"","0","DR-TC48: Verificar rechazo en la creación de profesional con photo_path excediendo tamaño máximo","tests.Professional","Mon Nov 10 20:51:27 UTC 2025","skipped","Mon Nov 10 20:51:27 UTC 2025","","test_DR_US_02_POST_professional","",""
"","230","DR-TC138: Verificar rechazo en actualizar un profesional con province excediendo longitud máxima","tests.Professional","Mon Nov 10 20:53:08 UTC 2025","skipped","Mon Nov 10 20:53:09 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","231","DR-TC243: Verificar actualización exitosa de un paciente modificando solo el campo dni","tests.Patient","Mon Nov 10 20:49:16 UTC 2025","passed","Mon Nov 10 20:49:16 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","355","DR-TC82: Verificar actualización exitosa de un profesional modificando solo el campo first_name","tests.Professional","Mon Nov 10 20:51:44 UTC 2025","passed","Mon Nov 10 20:51:44 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","207","DR-TC102: Verificar que se pueda actualizar un profesional con country Brasil","tests.Professional","Mon Nov 10 20:52:13 UTC 2025","passed","Mon Nov 10 20:52:13 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","245","DR-TC240: Verificar actualización exitosa de un paciente modificando solo el campo city","tests.Patient","Mon Nov 10 20:49:11 UTC 2025","passed","Mon Nov 10 20:49:12 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","0","DR-TC125: Verificar que no se pueda actualizar un profesional con last_name con caracteres especiales","tests.Professional","Mon Nov 10 20:52:45 UTC 2025","skipped","Mon Nov 10 20:52:45 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","204","DR-TC299: Verificar rechazo en actualizar un paciente con sex excediendo longitud máxima","tests.Patient","Mon Nov 10 20:50:46 UTC 2025","skipped","Mon Nov 10 20:50:46 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","1020","DR-TC37: Verificar rechazo en la creación de profesional con last_name excediendo longitud máxima","tests.Professional","Mon Nov 10 20:51:15 UTC 2025","skipped","Mon Nov 10 20:51:16 UTC 2025","","test_DR_US_02_POST_professional","",""
"","231","DR-TC136: Verificar rechazo en actualizar un profesional con country excediendo longitud máxima","tests.Professional","Mon Nov 10 20:53:20 UTC 2025","skipped","Mon Nov 10 20:53:20 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","1076","DR-TC64: Verificar que se puede registrar un profesional con sex femenino","tests.Professional","Mon Nov 10 20:51:29 UTC 2025","passed","Mon Nov 10 20:51:30 UTC 2025","","test_DR_US_02_POST_professional","",""
"","1703","DR-TC318: Verificar el registro fotográfico de un paciente","tests.Patient","Mon Nov 10 20:50:57 UTC 2025","passed","Mon Nov 10 20:50:59 UTC 2025","","test_DR_US_10_POST_patient_photographic_record","",""
"","175","DR-TC229: Verificar que no se pueda obtener los datos de un paciente con ID que no existente","tests.Patient","Mon Nov 10 20:49:00 UTC 2025","passed","Mon Nov 10 20:49:00 UTC 2025","","test_DR_US_07_GET_patient","",""
"","223","DR-TC20: Verificar que no se pueda registrar un profesional sin dni","tests.Professional","Mon Nov 10 20:51:08 UTC 2025","passed","Mon Nov 10 20:51:08 UTC 2025","","test_DR_US_02_POST_professional","",""
"","223","DR-TC22: Verificar que no se pueda registrar un profesional sin phone","tests.Professional","Mon Nov 10 20:51:08 UTC 2025","passed","Mon Nov 10 20:51:09 UTC 2025","","test_DR_US_02_POST_professional","",""
"","232","DR-TC143: Verificar rechazo en actualizar un profesional con profession excediendo longitud máxima","tests.Professional","Mon Nov 10 20:53:16 UTC 2025","skipped","Mon Nov 10 20:53:16 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","182","DR-TC314: Verificar eliminación de paciente fallida con ID inválido","tests.Patient","Mon Nov 10 20:50:55 UTC 2025","passed","Mon Nov 10 20:50:56 UTC 2025","","test_DR_US_09_DELETE_patient","",""
"","164","DR-TC317: Verificar eliminación de paciente fallida con token invalido","tests.Patient","Mon Nov 10 20:50:56 UTC 2025","passed","Mon Nov 10 20:50:56 UTC 2025","","test_DR_US_09_DELETE_patient","",""
"","234","DR-TC131: Verificar que no se pueda actualizar un profesional con phone con un valor inválido","tests.Professional","Mon Nov 10 20:53:01 UTC 2025","skipped","Mon Nov 10 20:53:01 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","0","DR-TC271: Verificar que no se pueda actualizar un paciente con mother_name con un valor de solo espacios","tests.Patient","Mon Nov 10 20:49:57 UTC 2025","skipped","Mon Nov 10 20:49:57 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","200","DR-TC306: Verificar rechazo en actualizar un paciente con province excediendo longitud máxima","tests.Patient","Mon Nov 10 20:50:43 UTC 2025","skipped","Mon Nov 10 20:50:44 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","203","DR-TC255: Verificar que se pueda actualizar un paciente con fissure_type Flap Bilateral","tests.Patient","Mon Nov 10 20:49:34 UTC 2025","passed","Mon Nov 10 20:49:34 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","231","DR-TC246: Verificar actualización exitosa de un paciente modificando solo el campo fissure_type","tests.Patient","Mon Nov 10 20:49:20 UTC 2025","passed","Mon Nov 10 20:49:20 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","229","DR-TC297: Verificar rechazo en actualizar un paciente con father_name excediendo longitud máxima","tests.Patient","Mon Nov 10 20:50:34 UTC 2025","skipped","Mon Nov 10 20:50:34 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","404","DR-TC171: Verificar que no se pueda registrar un paciente sin dni","tests.Patient","Mon Nov 10 20:48:00 UTC 2025","passed","Mon Nov 10 20:48:00 UTC 2025","","test_DR_US_06_POST_patient","",""
"","229","DR-TC92: Verificar actualización exitosa de un profesional modificando solo el campo specialty","tests.Professional","Mon Nov 10 20:51:58 UTC 2025","passed","Mon Nov 10 20:51:59 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","1771","DR-TC210: Verificar rechazo en la creación de paciente con ref_number_1 excediendo longitud máxima","tests.Patient","Mon Nov 10 20:48:42 UTC 2025","skipped","Mon Nov 10 20:48:44 UTC 2025","","test_DR_US_06_POST_patient","",""
"","1044","DR-TC34: Verificar que no se registre un profesional con phone inválido","tests.Professional","Mon Nov 10 20:51:13 UTC 2025","passed","Mon Nov 10 20:51:14 UTC 2025","","test_DR_US_02_POST_professional","",""
"","198","DR‑TC148: Verificar que no se pueda actualizar un profesional inexistente","tests.Professional","Mon Nov 10 20:53:25 UTC 2025","passed","Mon Nov 10 20:53:25 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","0","DR-TC275: Verificar que no se pueda actualizar un paciente con country con un valor de solo espacios","tests.Patient","Mon Nov 10 20:50:04 UTC 2025","skipped","Mon Nov 10 20:50:04 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","224","DR-TC298: Verificar rechazo en actualizar un paciente con mother_name excediendo longitud máxima","tests.Patient","Mon Nov 10 20:50:35 UTC 2025","skipped","Mon Nov 10 20:50:36 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","226","DR-TC264: Verificar que no se pueda actualizar un paciente con dni con un valor vacio","tests.Patient","Mon Nov 10 20:49:47 UTC 2025","passed","Mon Nov 10 20:49:47 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","349","DR-TC261: Verificar que no se pueda actualizar un paciente con date_of_birth con un valor vacio","tests.Patient","Mon Nov 10 20:49:43 UTC 2025","passed","Mon Nov 10 20:49:43 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","200","DR-TC96: Verificar que se pueda actualizar un profesional con country Bolivia","tests.Professional","Mon Nov 10 20:52:04 UTC 2025","passed","Mon Nov 10 20:52:04 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","177","DR-TC315: Verificar que no se pueda eliminar un paciente con ID que no existente","tests.Patient","Mon Nov 10 20:50:56 UTC 2025","passed","Mon Nov 10 20:50:56 UTC 2025","","test_DR_US_09_DELETE_patient","",""
"","1041","DR-TC68: Verificar que se puede registrar un profesional con country República Dominicana","tests.Professional","Mon Nov 10 20:51:34 UTC 2025","passed","Mon Nov 10 20:51:35 UTC 2025","","test_DR_US_02_POST_professional","",""
"","244","DR-TC250: Verificar que se pueda actualizar un paciente con country Bolivia","tests.Patient","Mon Nov 10 20:49:26 UTC 2025","passed","Mon Nov 10 20:49:26 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","200","DR-TC105: Verificar que no se pueda actualizar un profesional con date_of_birth con un valor vacio","tests.Professional","Mon Nov 10 20:52:18 UTC 2025","passed","Mon Nov 10 20:52:18 UTC 2025","","test_DR_US_04_PATCH_professional","",""
"","210","DR‑TC309: Verificar que no se pueda actualizar un paciente inexistente","tests.Patient","Mon Nov 10 20:50:51 UTC 2025","passed","Mon Nov 10 20:50:51 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","0","DR-TC276: Verificar que no se pueda actualizar un paciente con ref_number_1 con un valor de solo espacios","tests.Patient","Mon Nov 10 20:49:59 UTC 2025","skipped","Mon Nov 10 20:49:59 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","204","DR-TC238: Verificar actualización exitosa de un paciente modificando solo el campo mother_name","tests.Patient","Mon Nov 10 20:49:08 UTC 2025","passed","Mon Nov 10 20:49:09 UTC 2025","","test_DR_US_08_PATCH_patient","",""
"","286","DR-TC06: Verificar login fallido con usuario vacío y contraseña válida","tests.Login","Mon Nov 10 20:47:51 UTC 2025","passed","Mon Nov 10 20:47:52 UTC 2025","","test_DR_US_01_Login","",""
"","190","DR-TC74:  Verificar que no se pueda obtener los datos de un profesional con ID inválido","tests.Professional","Mon Nov 10 20:51:40 UTC 2025","passed","Mon Nov 10 20:51:40 UTC 2025","","test_DR_US_03_GET_professional","",""
"","228","DR-TC249: Verificar que se pueda actualizar un paciente con sex femenino","tests.Patient","Mon Nov 10 20:49:25 UTC 2025","passed","Mon Nov 10 20:49:25 UTC 2025","","test_DR_US_08_PATCH_patient","",""
